,user_id,follow_count,fans_count,gender,location,level,regis_year,regis_month,regis_day,properties,mileage,car_like,excellent_post_count,all_post_count,label
3651,新狼2013888,1,2,2,22,1,2013,1,1,1,2710.0,27,0,1,False
3653,百事可乐1010,0,2,2,6,1,2016,7,7,1,2180.0,1,0,0,False
3654,魏东明的,0,0,2,51,1,2017,11,11,1,110.0,105,0,2,False
3655,Bigkun,2,1,2,32,1,2015,2,2,1,4210.0,153,0,0,False
3657,RoxSalomon,10,6,1,32,1,2016,9,9,1,4070.0,26,0,4,False
3658,守着月亮守着你,4,3,2,93,1,2014,6,6,1,4650.0,143,0,6,False
3659,中东石油大亨,2,2,2,14,1,2015,12,12,1,2240.0,54,0,0,False
3660,6八八八,20,18,2,38,1,2016,12,12,1,1860.0,19,0,25,False
3661,酷酷的翔007,2,0,2,51,1,2018,5,5,1,400.0,12,0,0,False
3662,探访古典式,9,9,2,65,1,2014,12,12,1,1490.0,372,0,9,False
3663,爱你的老王,0,2,2,98,1,2014,11,11,1,560.0,117,0,2,False
3664,MT不会爱了,14,18,2,20,1,2012,5,5,1,3260.0,313,0,66,False
3668,Edwardko1207,0,0,2,32,1,2017,8,8,1,1760.0,69,0,0,False
3670,赤_赤,5,3,2,18,1,2017,6,6,1,2450.0,35,0,5,False
3671,zhaquan87,0,0,2,20,1,2018,1,1,1,1160.0,35,0,0,False
3672,熊了个熊熊熊,32,140,1,7,3,2017,7,7,1,20920.0,361,3,58,False
3673,一匹脱缰的大野马,0,0,2,4,1,2018,1,1,1,940.0,17,0,0,False
3675,ZhangMr2018,0,0,2,34,1,2018,2,2,1,120.0,33,0,0,False
3677,x_~的水,9,7,2,15,1,2015,6,6,1,1740.0,173,0,4,False
3680,操控_之魂,12,108,2,13,1,2016,9,9,1,3980.0,22,0,60,False
3682,泡得一碗好面,3,6,2,247,1,2015,3,3,1,2030.0,208,0,2,False
3683,konsigli,1,16,2,6,2,2015,2,2,1,14430.0,31,1,75,False
3684,余姚吴彦祖,10,8,2,24,1,2016,7,7,1,4520.0,184,0,12,False
3685,7号大树菠萝,0,2,2,4,1,2016,5,5,1,1410.0,31,0,1,False
3690,胶东父老,0,0,2,93,1,2018,5,5,1,300.0,373,0,0,False
3691,如不相欠怎会遇见,0,1,2,32,1,2016,10,10,1,1510.0,33,0,0,False
3693,小小小小陈陈先生,0,0,2,4,1,2017,11,11,1,940.0,17,0,0,False
3694,灵魂花瓣2016,26,22,2,23,1,2012,5,5,1,4310.0,374,0,22,False
3695,天青色而我在等你,5,1,2,27,1,2016,9,9,1,2070.0,1,0,0,False
3696,VinX_Sir,4,5,2,169,1,2015,12,12,1,4850.0,18,0,3,False
3699,三菱欧蓝德1890,0,0,2,176,1,2017,11,11,1,1110.0,33,0,0,False
3701,没问题的噢,4,6,2,11,1,2016,8,8,1,1510.0,261,0,5,False
3702,帅帅的我1990,0,0,2,97,1,2018,3,3,1,610.0,260,1,1,False
3703,杭州Ekinman,0,0,2,77,1,2016,12,12,1,2180.0,18,0,0,False
3707,帅的拉风丶,2,2,2,121,1,2017,8,8,1,810.0,160,0,6,False
3708,Dream王狗狗,0,0,2,14,1,2018,1,1,1,2790.0,24,0,3,False
3710,金牛座8818,0,0,2,178,1,2016,10,10,1,1640.0,131,0,0,False
3712,bandao2013,1,3,2,15,1,2017,5,5,1,2660.0,31,0,1,False
3713,a15261558580,2,1,2,4,1,2018,3,3,1,340.0,23,0,1,False
3714,Since1991_,5,2,2,5,1,2016,10,10,1,3620.0,69,0,9,False
3715,DreamCar太求多,4,5,2,248,1,2017,6,6,1,2750.0,16,0,0,False
3716,L花雪月,32,18,2,225,1,2012,2,2,1,5450.0,110,0,30,False
3717,没车恼火,7,2,2,16,1,2016,2,2,1,5890.0,375,0,1,False
3718,西林的征途,12,13,2,24,1,2017,10,10,1,3810.0,36,0,12,False
3720,飞翔吧男孩哈哈,11,9,2,38,1,2016,6,6,1,830.0,21,0,2,False
3721,铭大帅,2,3,2,20,1,2017,1,1,1,1940.0,24,0,3,False
3722,铭大帅,2,3,2,20,1,2017,1,1,1,1940.0,24,0,3,False
3726,fhazd2588,0,3,2,146,1,2015,10,10,1,2710.0,23,0,7,False
3727,神秘老班长,11,21,2,32,1,2014,11,11,1,7780.0,218,2,22,False
3734,公爵Bq,5,4,2,66,1,2017,7,7,1,560.0,106,0,0,False
3735,gdkduke,12,25,2,9,1,2012,2,2,1,7570.0,208,0,34,False
3738,EdmondChui,15,19,2,15,1,2015,10,10,1,730.0,41,0,8,False
3742,guykaka1,5,7,2,12,1,2015,2,2,1,6130.0,153,0,10,False
3743,zhangxidd,2,2,2,97,1,2017,2,2,1,3280.0,174,0,2,False
3745,friday0712,5,17,2,5,1,2017,4,4,1,1230.0,275,1,9,False
3746,喜爱007,7,5,2,15,1,2014,10,10,1,3880.0,331,0,12,False
3747,我来自南京1990,66,194,2,14,3,2016,9,9,4,22250.0,42,2,28,False
3748,香奈儿jessica,20,61,1,14,1,2012,11,11,1,1210.0,74,0,14,False
3749,Maxwell丶victor,13,8,2,127,1,2015,5,5,1,1220.0,148,0,7,False
3750,Teng丨小布丁,0,2,2,15,2,2016,8,8,1,10650.0,157,0,0,False
3752,xmtoys0000,3,5,2,14,1,2011,7,7,1,1990.0,376,0,1,False
3757,Shawnkemp40,1,0,2,5,1,2015,9,9,1,1230.0,42,0,0,False
3759,闹心的钢丝车主,5,4,2,193,1,2017,8,8,1,880.0,35,0,3,False
3761,心中的梦2016,18,27,2,32,1,2014,6,6,1,6910.0,2,1,21,False
3762,捷豹粉路过,3,10,2,49,1,2016,4,4,1,2050.0,18,0,4,False
3763,我很好啊你呢,0,0,2,5,1,2017,8,8,1,840.0,45,0,0,False
3764,外面在下雨119,4,5,2,16,1,2015,6,6,1,1060.0,20,0,30,False
3767,Dg073769,28,16,2,7,1,2014,3,3,1,5180.0,108,0,58,False
3769,姚政2015,9,12,2,9,1,2015,2,2,1,1780.0,153,0,0,False
3770,月神夜Zero,9,5,2,231,1,2012,10,10,1,1380.0,317,0,1,False
3773,lyb19910707,0,0,2,51,1,2014,6,6,1,1820.0,45,0,1,False
3774,449285742,22,7,2,113,1,2015,10,10,1,1960.0,306,0,5,False
3776,OMGjustdoit,4,4,2,26,1,2014,10,10,1,1450.0,142,0,8,False
3777,汽车一单元,0,0,2,5,1,2017,10,10,1,750.0,134,0,2,False
3778,阿准1,1,17,2,122,1,2014,5,5,1,850.0,133,0,20,False
3786,神祭,2,5,2,85,1,2012,11,11,1,1850.0,10,0,45,False
3790,睿翔纱窗,3,6,2,104,1,2016,5,5,1,7860.0,57,0,0,False
3792,麦子不等于妻子,2,4,2,5,1,2015,10,10,1,1550.0,224,0,0,False
3793,徐数,24,26,2,84,1,2015,8,8,1,4190.0,71,0,23,False
3795,心凉的我1,7,8,2,69,1,2016,3,3,1,4810.0,14,0,7,False
3796,Raymond雨,0,0,2,13,1,2017,3,3,1,1590.0,35,0,0,False
3797,雪中尉,4,10,2,5,1,2015,9,9,1,5520.0,100,1,28,False
3798,妈妈快跑打不过,29,91,2,20,1,2017,3,3,1,5270.0,42,0,63,False
3799,的特别,1,9,2,13,1,2016,1,1,1,7940.0,1,0,10,False
3800,car11234,46,89,2,19,4,2012,4,4,1,53080.0,1,3,31,False
3801,景天y,1,2,2,4,1,2017,9,9,1,1050.0,52,0,1,False
3802,11张胜伟,0,0,2,5,1,2017,12,12,1,270.0,19,0,0,False
3803,夏董XZT,0,0,2,193,1,2018,3,3,1,880.0,35,0,0,False
3804,幻灭fury,22,20,2,14,1,2016,6,6,1,3580.0,51,0,31,False
3806,迷遂,5,13,2,28,2,2015,2,2,1,8570.0,182,0,0,False
3808,强崽123,1,1,2,5,1,2018,2,2,1,100.0,56,0,0,False
3813,雷克萨斯ISFS,7,10,2,12,1,2017,11,11,1,6070.0,82,0,26,False
3814,niceCollect,2,3,2,122,1,2016,1,1,1,2390.0,223,0,0,False
3815,Aaron111222,0,1,2,14,1,2018,1,1,1,270.0,56,0,1,False
3817,木槿b,7,7,2,3,1,2017,8,8,1,3330.0,216,0,0,False
3820,当前用户名存在,6,9,2,249,1,2017,3,3,1,2130.0,46,0,1,False
3821,dinner_f,17,6,2,26,1,2016,10,10,1,1710.0,87,0,2,False
3822,港湾的港,0,0,2,13,1,2017,10,10,1,620.0,45,0,0,False
3825,摸金校尉OL,0,2,2,99,1,2014,6,6,1,3070.0,377,0,0,False
3826,假装潜水1,1,5,2,53,1,2013,7,7,1,2370.0,148,0,4,False
3827,没事买辆玩玩,1,0,2,5,1,2017,8,8,1,2240.0,15,0,1,False
3828,东路西郊,1,1,2,108,1,2017,12,12,1,1230.0,15,0,3,False
3830,汽车小贵,0,2,2,20,1,2016,6,6,1,810.0,21,0,0,False
3831,LY一平空白,1,2,2,7,1,2017,10,10,1,2560.0,99,0,4,False
3833,SlSTAR,54,26,1,5,2,2015,2,2,1,11260.0,180,0,4,False
3835,笑苍生8888,0,2,2,5,1,2015,6,6,1,870.0,41,0,0,False
3837,宏少7410,0,0,2,7,1,2018,3,3,1,180.0,93,0,0,False
3838,dgn5879,0,2,2,223,1,2016,9,9,2,1880.0,85,0,2,False
3842,Wangyuan20131012,3,3,2,14,1,2018,6,6,1,1610.0,1,0,1,False
3844,你好丶先生,38,14,1,20,1,2016,10,10,1,600.0,69,0,3,False
3846,温存熙呦,2,3,2,164,1,2017,5,5,1,1460.0,234,0,0,False
3851,年轻即将出发,5,10,2,7,1,2015,11,11,1,750.0,378,0,2,False
3856,丶未可知,6,7,2,38,1,2016,1,1,1,730.0,22,0,0,False
3857,ke1658,0,0,2,5,1,2017,5,5,1,1670.0,229,0,0,False
3858,牛逼的人起牛逼的名字,1,1,2,9,1,2016,8,8,1,690.0,363,0,0,False
3859,正在输入请等待,0,3,2,15,1,2014,7,7,1,550.0,117,0,0,False
3860,罗三sir,2,1,2,34,1,2013,12,12,1,1450.0,58,0,2,False
3861,请叫我李大仙,0,1,2,14,1,2016,3,3,1,550.0,101,0,0,False
3862,朗姆酒日记7,0,0,2,68,1,2017,12,12,1,1190.0,17,0,0,False
3864,永恒力量,14,9,2,20,1,2015,4,4,1,550.0,4,0,4,False
3865,不忘初心_春意藏,5,4,2,229,1,2015,10,10,1,4550.0,379,0,0,False
3867,丢了酱油瓶的流氓兔,7,5,2,38,1,2016,7,7,1,2120.0,241,0,0,False
3868,人生如戏0000,7,8,2,163,1,2015,8,8,1,1380.0,152,0,7,False
3870,来自希腊的红烧肉,0,0,2,176,1,2016,1,1,1,1370.0,28,0,0,False
3871,蹬三轮兜风,15,8,2,133,1,2016,8,8,1,1320.0,5,0,6,False
3872,IMMERGAS,0,0,2,20,1,2017,3,3,1,910.0,132,0,0,False
3876,再见时光28567,130,213,1,51,1,2011,1,1,1,7590.0,18,2,169,False
3879,我爱史密斯,10,3,2,46,1,2015,12,12,1,3110.0,330,0,17,False
3881,最白痴,0,1,2,250,1,2016,2,2,1,560.0,28,0,2,False
3882,杨过日记55,0,0,2,5,1,2016,12,12,1,550.0,31,0,0,False
3884,百度bd,16,26,2,192,2,2012,11,11,1,10560.0,22,0,18,False
3885,ay2ynt8i7,0,0,2,5,1,2017,9,9,1,2750.0,45,0,0,False
3889,caoshuai929,0,1,2,61,1,2017,12,12,1,420.0,69,0,0,False
3891,837213477gyy,5,5,2,192,1,2017,6,6,2,1730.0,118,0,0,False
3893,邓丁00000,0,0,2,4,1,2017,9,9,1,1630.0,94,0,0,False
3894,唯爱三宝,1,0,2,15,1,2017,11,11,1,190.0,35,0,0,False
3895,a620092,0,0,1,7,1,2017,11,11,1,770.0,45,0,2,False
3896,qxwhy,30,26,2,5,1,2007,12,12,1,2460.0,89,1,108,False
3897,dmxman,24,47,2,4,2,2009,8,8,1,9580.0,68,0,33,False
3899,巴黎2,21,18,2,38,1,2015,4,4,1,5390.0,320,1,18,False
3904,马马虎虎的熊,0,2,2,75,1,2014,4,4,1,1040.0,316,0,6,False
3906,tk112233,1,0,2,14,1,2016,8,8,1,760.0,101,0,0,False
3909,人鱼小姐姐,1,6,2,98,1,2016,11,11,1,1990.0,71,0,4,False
3910,朱小伟up,1,1,2,14,1,2017,7,7,1,1460.0,71,0,3,False
3911,SmashCc,0,3,2,32,1,2016,8,8,1,2480.0,249,0,1,False
3912,Kevin赵俊凯,2,0,2,37,1,2017,1,1,1,1690.0,11,0,4,False
3914,刘福川1989,0,11,2,23,1,2017,2,2,1,4260.0,28,0,7,False
3920,Bassi,119,146,2,15,3,2015,9,9,1,30680.0,47,2,44,False
3923,天蓬神腿,5,0,2,12,1,2016,10,10,1,2110.0,104,0,0,False
3925,七彩浪花,4,3,2,240,1,2013,6,6,1,2510.0,18,0,0,False
3937,白晓峰888888,0,0,2,26,1,2018,1,1,1,100.0,35,0,0,False
3941,dennishuyi,0,5,2,15,1,2016,3,3,1,610.0,380,0,0,False
3943,智聪,2,1,2,4,1,2014,10,10,1,550.0,1,0,1,False
3944,大猛男哈哈哈,0,0,2,61,1,2016,12,12,1,850.0,79,0,0,False
3945,kflsyev晖,2,1,2,19,1,2016,6,6,1,3290.0,110,0,0,False
3947,谁与我共生死,11,5,2,20,1,2013,12,12,1,2390.0,76,0,4,False
3952,Anniu888,0,0,2,5,1,2018,4,4,1,710.0,33,0,0,False
3953,冬夜多漫长,1,2,2,251,1,2016,12,12,1,5310.0,381,0,1,False
3955,张jian辉,0,0,2,86,1,2017,10,10,1,750.0,137,0,0,False
3956,xcongyuanx,18,7,2,55,1,2015,1,1,1,2480.0,22,0,10,False
3959,Didsa,0,0,2,4,1,2018,1,1,1,410.0,45,0,0,False
3960,xjy930430,1,1,2,53,1,2015,10,10,1,1030.0,18,0,0,False
3963,禽兽禽兽好男人,12,27,2,133,1,2014,7,7,1,6750.0,72,0,22,False
3964,嗯那老刘,4,1,2,4,1,2015,5,5,1,1520.0,40,0,7,False
3966,F鹏,1,0,2,37,1,2017,11,11,1,3980.0,35,0,0,False
